作者,看板,標題,時間,分數,內容
yu800910 (掃地機器人),movie,[問片] 問一部有關移民二代的片（結局雷）,Thu Aug 22 03:06:22 2019,0,"

是一部滿久的片，劇情下收，有結局雷：





男主角是移民到美國（應該是）的華裔第二代（似乎是韓裔），父母已經離婚，男主角跟爸爸住一起，而媽媽改嫁外國人。




男主角在學校（記得是高中生）被一群人欺負很慘，後來才知道帶頭欺負他的男配角是男主角的媽媽的繼子。

結局防雷：









結局是男主角跟女主角參加舞會，然後被男配角給槍殺了。



希望幫忙神一下了，謝謝

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 223.139.213.160 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566414384.A.4F7.html
"
loneleonlmc (一個正常的瘋子),movie,Re: [討論] 談判破局！ 蜘蛛人退出漫威宇宙！,Thu Aug 22 06:11:32 2019,2,"
※ 引述《aehvtleo ()》之銘言：
: https://cutt.ly/owdnLUz
: 驚！
: 根據Deadline報導，漫威跟索尼未能達成協議
: 談判破裂！！！
: 蜘蛛人將完全退出漫威宇宙，索尼擁有全權；前面的梗都白鋪了，漫威這下尷尬了！

以下有復四雷
放一張圖防雷
https://i.imgur.com/1JkcwGC.jpg



其實我覺得索尼會這樣並不意外，開始的合作互惠，讓蜘蛛人去內戰露臉，鋼鐵人來返校
日加持。離家日又是MCU第三階段的結尾，這些對蜘蛛人的票房一定都有幫助。

但是鋼鐵人死了，美隊也不在了，跟蜘蛛人比較有關係的超級英雄都不在了。前兩集的襯
托已經把荷蘭弟這個蜘蛛人捧紅了，繼續跟漫威合作的利基點變小了，索尼會想要自己拍
其實並不意外。

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 101.12.20.218 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566425495.A.D8A.html
"
agoonee (Ian),movie,[請益] 尋求以微生物或細菌為主題的電影,Thu Aug 22 07:32:01 2019,21,"
最近因為工作需求，希望找幾片歐美電影，內容主題是以細菌/微生物為主軸的。
若是細菌更好，病毒次之，真菌或寄生蟲再次之。
若沒有當主軸的，出現一些片段亦可。
真人電影或動畫皆可，不過希望是有些知名度的電影。

感謝協助。

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 60.249.228.245 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566430323.A.F96.html
※ 編輯: agoonee (60.249.228.245 臺灣), 08/22/2019 08:32:07
"
burnsy0018 (burnsy),movie,[新聞] 瑪格羅比、莎莉賽隆、妮可基嫚聯手揭發,Thu Aug 22 09:37:59 2019,1,"
預告:

https://youtu.be/YXL33tEUA3g


瑪格羅比、莎莉賽隆、妮可基嫚聯手揭發性醜聞！《Bombshell》前導預告曝光


《Bombshell》由《王牌大賤諜》三部曲導演-傑洛奇執導，《大賣空》《愛情藥不藥》
編劇查爾斯藍道夫執筆劇本，該片改編自2016年福斯新聞網主播葛瑞琴卡爾森揭發執行
長羅傑艾爾斯長期對女性員工及同事的性騷惡行的真實事件。

妮可基嫚飾演主播卡爾森，莎莉賽隆飾演主播梅根凱莉，瑪格羅比則飾演一位電影虛構
的助理製作人角色-凱亞波茲皮索。其他參演卡司包括凱特麥金儂、艾莉森珍妮、艾莉絲
伊芙、康妮布莉頓等堅強陣容。北美預計12月20日上映。

新聞網址:
https://geek-base.toy-people.com/?p=7118




莎莉賽隆特效化妝也太厲害了，跟梅根凱莉如出一轍 (其實也很像伊莉莎白班克絲)

https://i.imgur.com/1yZzjaZ.jpg

妮可基嫚飾也跟主播格雷琴卡爾森非常神似

https://i.imgur.com/WT9kCty.jpg


好萊塢三大實力派金髮美女齊聚一堂, 期待電影上映~~


--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 111.250.157.246 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566437881.A.960.html
※ 編輯: burnsy0018 (111.250.157.246 臺灣), 08/22/2019 09:45:58
"
m2017 (Ares),movie,[討論] 飛車追逐，追到了可以幹嘛？,Wed Aug 21 21:30:15 2019,6,"
飛車追逐已經是動作片的必定橋段，可是追到了可以幹嘛？

要停下對方嗎？高速行駛的車輛要怎樣停下來
要殺死對方嗎？怎麼看都是蠻沒效率的作法
要知道對方去哪裡嗎？蠻合理的解釋

硬要說我覺得比較合理的追逐戰，應該是諜戰巴黎裡面，搶制高點用火箭筒轟掉對方的車
，其他的根本不知道追到要幹嘛

請問有哪部電影有比較合理的飛車追逐嗎？

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 223.137.137.71 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566394217.A.268.html
"
kkaicd1 (夏天的熱浪),movie,[新聞] 田中圭【大叔之愛電影版】秀精湛崩潰顏藝,Wed Aug 21 21:32:34 2019,3,"
新聞網址：https://cciitw.pixnet.net/blog/post/228112421
田中圭《大叔之愛電影版》崩潰顏藝大爆發  選男友竟然選「他」

勇奪推特（Twitter）世界熱搜趨勢冠軍，並榮登2018年日本「新語‧流行語大賞」TOP10的熱門神劇《大叔之愛》，作為最終完結的《大叔之愛電影版》，即將在9月6日於全台爆笑上映。男主角田中圭片中不僅再度面臨「少女心部長」與「巨根愛人」的情感左右拉扯，電影版更加入全新大叔與鮮肉角色，以「五角戀愛大亂鬥」爆笑再加碼！田中圭也將在片中展現優秀的「內心小劇場」與「崩潰顏藝」，讓觀眾笑到凍未條。自認笑點極低的田中，也大讚飾演部長的吉田鋼太郎超有趣，跟他對戲都必須忍住笑意到內傷。他也爆料林遣都常會脫稿演出，讓他常有雞同鴨講的問號感
。當被問到自己如果是男主角「春田」，會選擇少女心部長還是巨根愛人呢？田中圭想了好久，結果語出驚人表示：「我應該會選擇部長吧。」回答也顯示出田中跟他飾演角色的不同面向。


吉田鋼太郎《大叔之愛電影版》搞笑打人  害田中圭麵粉灑滿臉

田中圭以日劇《大叔之愛》成為演藝圈當紅炸子雞，這回以《大叔之愛電影版》強勢回歸。他自認雖然非常辛苦、忙碌，但真的非常開心，也盡情發揮演出實力。尤其他在日劇中大秀豐富的「內心小劇場」與「崩潰顏藝」，就連哭戲都很有渲染力，這回電影版也將再度看到他的精彩表現。透露自己笑點極低的他，常常被吉田鋼太郎的表演笑到凍未條。他透露片中最印象深刻的一場戲，莫過就是他跟志尊淳、吉田鋼太郎三人在烏龍麵店的戲。


在那場戲當中，吉田鋼太郎演到一半，突然出手打了志尊淳，最後害田中圭被掉下來的麵粉灑得滿身都是，模樣搞笑卻也狼狽不堪。田中對此苦笑回憶：「灑麵粉之前的一來一往實在太精彩，讓我不禁開玩笑問導演：『已經這麼精彩了，我根本不用被灑麵粉吧！』」田中也進一步表示：「跟吉田對戲時，我真是拼了命忍住笑意。完全不知道他會出什麼招，實在是太厲害了。和他共演，為我帶來很大的表演刺激。」


林遣都脫稿演出  田中圭《大叔之愛電影版》笑稱跟他雞同鴨講

至於在《大叔之愛電影版》飾演男主角愛人「小牧」的林遣都，田中圭也是對他又愛又恨，更常被他的「脫稿演出」惹得滿頭問號：「雖然偶爾抓不太到他的意思，但還是很有趣。他經常會脫稿演出，有時候甚至會讓我覺得『怎麼會是這樣演？』但我們之間的一來一往其實超好玩的。」他進一步透露：「我們有點各說各話，他好像也抓不太到我的意思，有時候甚至會讓我覺得『你剛才真的有在聽我說話嗎？』之類的。不過這也讓我們之間的戲更有真實感，也反映出春田與牧之間的關係。」


雖然田中圭在電影中被各方角色愛慕，但對於「追求」或「被追求」，自己在感情上會比較傾向哪一方面呢？田中圭也表示：「畢竟自己身為男性，應該還是比較喜歡主動追求吧。」那如果自己是男主角「春田」的話，又會選擇部長「武藏」還是愛人「小牧」呢？田中圭也是想了滿久，結果語出驚人地表示：「在這之中，我應該會選擇部長吧。」回答也顯示出田中跟所飾演角色的不同面向。


這部年度必看爆笑愛情神片《大叔之愛電影版》，即將在9月6日於全台爆笑獻映。重溫《大叔之愛》日劇，就在愛奇藝台灣站（http://bit.ly/2NldFSq）。本片劇情描述喜歡童顏巨乳卻女人緣極差的天空不動產魯蛇職員春田創一（田中圭飾演），某日突然迎來人生第一個桃花期！他不但被已婚的少女心部長?澤武藏（吉田鋼太郎飾演）告白，還被帥氣的巨根後輩牧凌太（林遣都飾演）浴室強吻，展開笑淚交織的愛情大亂鬥。就在春田情定牧，在馬路旁互許愛的誓言之後，春田隨即被外派到上海、香港，一年後才重回日本，與牧、部長再度相會。此時，天空不動產總部的核心
團隊「Genius7」突然現身，領導者狸穴迅（澤村一樹飾演）更宣佈在主導一項牽涉全亞洲的大型企劃案，而春田隸屬的天空不動產東京第二營業部，也將成為企劃的一部分；被調職到總部的牧，更赫然以「Genius7」組員身份出現其中…。隨著「總部」和「營業部」的隔閡日深，春田甚至發現狸穴與牧似乎有曖昧情愫，讓兩人的距離漸行漸遠。另一方面，面對營業部新進職員山田正義（志尊淳飾演）逐漸對春田產生如兄長般的愛慕之情，這場複雜的五角戀愛大亂鬥，即將再度展開…。


欲知本片最新消息，
請上電影官方部落格http://cciitw.pixnet.net
與臉書粉絲團https://www.facebook.com/ccasiaworld查詢。



--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 59.120.41.231 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566394357.A.7E5.html
"
stator (),movie,[請益] 請推薦間諜或臥底被祖國拋棄美片和韓片,Wed Aug 21 21:37:02 2019,13,"
很喜歡這類型的動作片電影
像是最近上映的全面攻占3
以前的鋼鐵墳墓1

最近看的韓國電影：
同窗生
很愛這樣的劇本


還請高手能多推薦類似電影 謝謝

港片也可 謝謝

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 111.82.92.128 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566394624.A.37E.html
"
sd79307 (井),movie,[微好雷]  海賊劇場版-奪寶爭霸,Wed Aug 21 21:44:12 2019,11,"
防雷



















秉持著10幾年的海賊粉又一次的踏入電影院。

直接說結論，這部燃的地方可以很燃，但缺點也是顯而易見的

優點：

1.情懷作品：這部片是給海賊粉的大情懷作
            作品中出現的角色可能比過去劇場版加起來的還多
            角色也有表現出應有的個性，其中某人的橋段根本是複製____。
            ※我跟你的屬性是打不出結果的

2.動作場面極多：打鬥的戲超多，尤其是拳頭互碰
                某一段讓我差點想喊歐拉歐拉跟木大木大

3.劇情簡單易懂。

4.笑點處理得還不錯，女帝的手刀奔跑跟巴奇各種troll很經典

缺點：其實很多都是優點換另外一個角度看，就變成缺點了

1.角色太多：多到難以發揮，有前戲的後來就神隱。後面難得出來的撂2句話就換人
            有些角色的動機也很不明確，比方說沙鱷跟羅
            他們一開始是怎麼掌握情報的？

2.硬要對招：這點很像Gold電影版裡面，羅布路基在結尾應要跟薩波來幾下
            明明知道這兩人不會打出結果，還是要秀一下技能跟對打

3.某幾段畫面(人&場警)崩壞，甚至有點銜接不太起來。

4.首次在電影版裡面嘗試3D人偶畫面，個人認為沒這種必要

5.反派設計的太簡單，幾乎只剩下一隻反派，卻沒有什麼立體感
  卡普和戰國說明的那段也沒有幫他加太多分

  甚至我覺得強者天下、Z、GOLD的大反派立體的多
  更別提他們還有帶幾個有特色的部下
  我覺得這隻反派太像英雄學院電影版的，或者根本是金屬系的琵卡

6.太捧魯夫了，雖然從大監獄+頂上戰爭後
  作者給魯夫的設計就是在大海上連敵人都能招降的領導者
  可是這部作品過於刻意

7.劇場版時間線不知道是安排在正傳哪一段，感覺是蛋糕島前後
  因為娜美的招數有喊出宙斯雲，但怪僧卻還好端端的站著，就連尤斯塔基也沒斷手
  但整篇沒有甚平感覺很奇怪，不曉得有什麼不能讓他出來的理由。

最後我想說，這部電影的女性觀眾出乎我意料的多，也因為最後快結局的時候
薩波跟配角意外來了一個騷操作，讓整個電影院的人都發出驚呼聲
彩蛋完還聽到不少女生紅著眼眶擦眼淚
(可能是因為我完全不是那個角色的粉絲，所以感受不到)

還有哥爾羅杰在結束的那段話也滿耐人尋味的，難不成正傳以後要推翻設定了嗎...

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 59.115.104.92 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566395054.A.C8B.html
原來如此  都忘記15e這件事情了...謝謝樓上補充
※ 編輯: sd79307 (59.115.104.92 臺灣), 08/21/2019 22:21:53
"
Fantasy7th (睡有出頭天),movie,Re: [討論] 索尼自己拍蜘蛛人肯定票房不會高,Wed Aug 21 21:44:52 2019,22,"
這可能對兩邊短期有傷，但長期而言索尼是好呀

以前蜘蛛人被割讓，索尼怎樣也曾經讓他有個榮景
後來漫威是崛起了，迪士尼提出一漫兩制
希望讓蜘蛛人成為一個漫威的一份子，索尼想像漫威夢，也答應了

但你看離家日，蜘蛛人的主體性都快沒了
到處都是鋼鐵人甚至復仇者聯盟的影子，
是的，也許短期衝高，但長期就可能過度依賴，
就像水電都靠漫威提供還沒有軍隊，迪士尼又養出護漫手，
遑論迪士尼根本就想改變掌控程度，摧毀原本一漫兩制的協定，
如果不趁現在趕快切割，避免整個變成MCU跟迪士尼主導的情況，
到時候更深入變成MCU附屬、復仇者小弟、重要配角都MCU客串，
到時候就算索尼要喊『反送迪』可能都來不及了......

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 115.43.43.127 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566395094.A.33B.html
"
Sischill (Believe or not),movie,Re: [討論] 索尼自己拍蜘蛛人肯定票房不會高,Wed Aug 21 22:15:01 2019,6,"
※ 引述《jobechi ()》之銘言：
: 這裡好像真的一堆人自以為
: 現在所有英雄電影都是沾MCU的光
: 就拿蜘蛛人來說好了
: 先不論你個人覺得到底哪個版本最好
: 這本來就是個人喜好沒有標準答案
: 但就票房來說
: 2002蜘蛛人  8.2億
凱文費吉
: 2004蜘蛛人2  7.8億
凱文費吉
: 2007蜘蛛人3  8.9億
凱文費吉
: 2012蜘蛛人:驚奇再起  7.5億
凱文費吉
: 2014蜘蛛人:驚奇再起2  7.09億
非凱文費吉 票房7.09億不過宣傳費跟製作費比之前還高 然後被笑最爛的

不過還是月金廿難

: 2017蜘蛛人:返校日  8.8億
凱文費吉
: 2019蜘蛛人:離家日  11億(目前）
凱文費吉
: 那些說蜘蛛人是沾MCU光的人
: 如果真的是沾MCU的光請問返校日有鋼鐵人的加持怎麼也才8.8億
: 而首次破10億的離家日還是打著MCU第三階段真正結尾的招牌才能有這種成績
: 如果你是SONY把版權借給你迪士尼結果跟我自己拍票房差不多
: 雖然票房是SONY全拿但周邊收入都不能拿
: 然後現在迪士尼還打算來跟你分一杯羹
: 你的商業考量是自己來還是繼續跟迪士尼合作？
: 不用把漫威電影工作室想的多偉大
: 當年沒有MCU他們一樣可以拍出能看的電影
: 畢竟本身英雄知名度就已經夠了
: 不要拍的像重啟的驚奇4超人那麼爛基本上觀眾都會買單
: 然後總會有人說如果真的拆夥大家會抵制看蜘蛛人
: 漫威電影工作室自己說過
: 當年他們預算有限所以很多系列是找小咖便宜的演員來當主角
: 因為他們認為只要角色本身知名度夠誰來演都一樣
: 這句話套在製作電影的公司也是一樣
: 只要有公司能拍出能看(不用到好看)的英雄電影
: 誰會在意你是不是跟MCU有關聯性
: 所以我說不用把漫威電影工作室想的太偉大
: 蜘蛛人是IGN百大英雄排名的第三名漫威的第一名
: 你覺得SONY會很在意蜘蛛人有沒有出現在MCU裡面嗎？
: 只有我們觀眾在意而已
我也希望SONY自己搞, 幹嘛要跟漫威還有迪士尼要凱文費吉?

再重啟再個蜘蛛人:電光3部曲不是很好嘛?

反正再怎麼樣都不會賠, 爛蕃咖跟IMDB也中規中矩

怎麼看SONY自己搞都比較好不是嘛?

而且MCU沒了蜘蛛人跟本沒什麼, 覺得MCU沒蜘蛛人活不下去的,

連黑豹 驚奇隊長這種SJW片都賣10億以上了, 後面F4跟X-MEN大咖一堆, 有差蜘蛛人嘛?

蜘蛛人在MCU也不能跟venom連動, 換句話說就不可能有跟carnage互打的場

SONY拿去重做 蜘蛛人宇宙還能期待carnage大魔頭


至於MCU phase4後一堆戰力比天高的蜘蛛人來跟本沒屁用 加入也只是當龍套..


--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 1.160.1.144 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566396903.A.EF1.html
"
lovelove5566 (56精神),movie,[討論] 預測索尼收回蜘蛛人的玩法！,Wed Aug 21 22:17:47 2019,27,"
從陶比3和加菲2來看，
索尼總有一種難以戒掉的習性，
那就是「急著賺錢」、「急著端出所有菜」！

以前總有漫威管制，
凡事都要一步一步來，

但索尼還是忍不住規劃了 吸血鬼莫比亞斯、獵人克萊聞、黑貓與銀貂...這些543的電影
！

現在少了漫威這個剎車，
我們索尼總算能瘋狂加速了！

以下大膽預測索尼接下來的玩法！！

————————

索尼接手後的荷蘭第三集：

猛毒直接登場並且連結，
屠殺也登場，
邪惡六人組也登場，
關也登場，

關剛出會三角戀，但沒多久就會死，
結局是荷蘭跟MJ結婚。

然後索尼忍不住想趕快告訴大家，
還有個黑蜘蛛人！
所以邁爾斯也登場，

片尾1:
荷蘭領便當，邁爾斯當新蜘蛛人。

片尾2:
索尼忍不住想告訴大家還有黑貓與銀貂，
荷蘭死後，MJ意外發現荷蘭在外面偷吃黑貓，
然後預告黑貓與銀貂電影。

片尾3:
索尼覺得想說的東西太多了，
所以獨創第三個片尾預告，
梅嬸整理照片時，看到自己年輕照片，
索尼預告拍攝梅嬸前傳。


————————

索尼接手第四集
（索尼拼命拍攝，兩年內就上映了）

邁爾斯直接打蜘蛛人宇宙大戰，

但索尼忍不住想告訴大家，
彼得會有個女兒也能接班蜘蛛人，
所以邁爾斯這集就死了。

片尾1:
告訴大家還有更多的蜘蛛人要大戰。

片尾2:
索尼忍不住了，彼得女兒長大了。

片尾3:
索尼預告還要拍彼得爸媽前傳、班叔叔外傳、肥仔同學外傳、禿鷹傳

————————-

索尼接手第五集

沒有這一集！
因為前兩集爆了，蜘蛛人宇宙電影也都爆了，
索尼宣佈重啟，且不排除與漫威重啟談判。


中場花絮1:
導演表示索尼高層關切多次，壓力很大。

中場花絮2:
索尼表示他們想說的蜘蛛人故事太多了，
目標是一年3-4部蜘蛛人電影，
要給大家滿滿的蜘蛛人 ！


--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 49.218.87.155 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566397069.A.84C.html
※ 編輯: lovelove5566 (49.218.87.155 臺灣), 08/21/2019 22:25:35
※ 編輯: lovelove5566 (118.170.190.173 臺灣), 08/22/2019 01:53:26
"
Superman007 (),movie,Re: [討論] 索尼自己拍蜘蛛人肯定票房不會高,Wed Aug 21 22:27:05 2019,-1,"
真的天大的笑話

現在一堆人說蜘蛛人不靠漫威單索尼拍也夠賺

到底那裡來的邏輯？


蜘蛛人就是靠漫威啊

蜘蛛人是當年漫威漫畫創造的角色

沒有漫威

會有蜘蛛人？

蜘蛛人會紅？

蜘蛛人就是靠漫威

從根本就是

也就是因為這樣所以當初即使賣給索尼

索尼也能排出好成績

票房也是

這些都是靠漫威

靠漫威的蜘蛛人自己本身的火紅

所以蜘蛛人就是靠漫威

別再說什麼蜘蛛人不是靠漫威這種話

真的很好笑

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 223.137.132.155 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566397627.A.959.html
"
leelee688 (雲寒陵),movie,[微雷] 全面攻佔3 ,Wed Aug 21 22:29:20 2019,6,"






去電影院刷完了這部，









——————————————以下防雷——————————————————


先簡單說一下感想。
故事線呈現下面這樣一個循環……


——恐攻→爆炸→恐攻→爆炸→爆炸


總之，
爆了又爆，爆了又爆，繼續爆。
喜歡第一部的步調，和第二部的爆破場面的人應該會喜歡第三部。


我是抱著爆米花電影的期待進場去看，
但是看到親情和信任的部份的時候，
依然有一種在那一瞬間被戳到的感覺。


整部電影的故事線很簡單，
有人想殺總統，我們得救總統。


但是在這樣子的套路中，還是有玩出新把戲。
這一次不只要救總統，
還需要拯救自己，全程節奏明快，基本沒有冷場。


Mike的內心世界，
以及他的黑暗面在這一部裡頭是我相當喜歡的橋段。


如果沒看過前面兩部，這部可以輕鬆當爽片看，
記得挑聲光效果好一點的大廳，這部很吃聲光效果。


看完以後覺得應該去IMAX看的……………………



———————————————以上防雷—————————————————















--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 1.162.204.89 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566397762.A.5E5.html
"
SakuraHana (櫻花),movie,Re: [討論] 局外人看索尼和迪士尼關於蜘蛛人的談判,Wed Aug 21 22:44:53 2019,-8,"
推測是漫威和荷蘭弟把蜘蛛人的名聲做起來，

索尼推斷漫威不會放棄這個人物，於是獅子大開口，

弄得漫威不爽，乾脆走人。

嘖嘖！貪得無厭的日本人…

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 118.168.36.242 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566398696.A.222.html
"
Katarn ( ),movie,[片單] 花長時間鋪陳希望 最後卻沒實現的電影,Wed Aug 21 23:12:58 2019,18,"



1. 請簡述自身需求片單理由 或 欲尋找電影的類型或特徵（請盡量描述清楚）


   其實主要是去年看了復三後，一直覺得復三在索爾受創到拿到風暴破壞者

   花了相當多精心的鋪陳，暗示強調這武器的重要性和關鍵性，

   配樂激昂、自我開爐、格魯特斷手成柄，一堆畫面都很經典，

   以及復三最後從天而降帶來一線生機，也強到能拆運兵艦，但想不到卻是功敗垂成，


   然後到了復四大戰，三元老中又是表現最悽慘的，被海扁+武技表現輸美隊，

   牽制薩諾斯拿手套結果被頭槌擊倒，拿來對比驚隊挨頭槌沒事兒，雖然是變胖了沒錯，

   但是花那麼多時間鋪陳他和風暴破壞者，最後卻沒有驚艷的表現，就我的觀影經驗

   是相當罕見的，所以想問問有沒有同樣情節設計的片單可以看看，謝謝。



2. 已知符合需求的電影或偏好的電影類型（為避免重複推文，請至少列舉一部）

   就復三到復四

3. 不喜歡的電影類型            （不需要板友推薦的電影片名）

   目前都可以，情節設計相似即可。

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 122.116.224.15 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566400380.A.5A5.html
"
tzujan (無),movie,Re: [討論] 索尼自己拍蜘蛛人肯定票房不會高,Wed Aug 21 23:19:58 2019,8,"
太棒了


索尼自己拍蜘蛛人絕對支持


現在的蜘蛛人看票房表現是不錯


但是和前幾版的蜘蛛人 內涵根本差了十萬八千里



以前蜘蛛人的心境轉折  描述的很好


還有反派也非常有特色


現在有啥，完全看不出來


有時候看真的就像小孩子看的電影讓我滿臉尷尬



反而蜘蛛人脫離威漫  可以讓蜘蛛人劇情更加純粹

-----
Sent from JPTT on my LGE LG-H870DS.

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 111.240.98.54 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566400808.A.F4A.html
"
